"nci_id","nct_id","official_title","inclusion_indicaInclusionor","description","Text","Boolean",""
"NCI-2009-00336","NCT00392327","Efficacy of Carboplatin Administered Concomitantly with Radiation and Isotretinoin as a Pro-apoptotic Agent in Other than Average Risk Medulloblastoma/PNET Patients","N/A","","","",""
"NCI-2009-00470","NCT00632853","Phase III Comparison of Thoracic Radiotherapy Regimens in Patients with Limited Small Cell Lung Cancer Also Receiving Cisplatin or Carboplatin and Etoposide","N/A","","","",""
"NCI-2009-00595","NCT00719303","Can Diet and Physical Activity Modulate Ovarian, Fallopian Tube and Primary Peritoneal Cancer Progression-Free Survival?","N/A","","","",""
"NCI-2009-00603","NCT00492778","A Randomized Trial of Pelvic Irradiation with or without Concurrent Weekly Cisplatin in Patients with Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus","N/A","","","",""
"NCI-2009-00817","NCT00001337","Dose-Adjusted EPOCH Chemotherapy and Rituximab (Cd20+) in Adults and Children with Previously Untreated Aggressive Non-Hodgkin's Lymphoma","Inclusion","Human immunodeficiency virus (HIV) negative","HIV excluded OR HIV UNKNOWN","C15175 = NO OR C15175=C17998","c15175:affirmed;c15175:affirmed;"
"NCI-2009-01057","NCT00576654","A Phase I Dose-Escalation Study of Oral ABT-888 (NSC #737664) plus Intravenous Irinotecan (CPT-11, NSC#616348) Administered in Patients with Advanced Solid Tumors","N/A","","","",""
"NCI-2011-00312","NCT01012817","A Phase 1/2 Trial of ABT-888, an Inhibitor of Poly(ADP-ribose) Polymerase (PARP), and Topotecan (TPT) in Patients with Solid Tumors (Phase 1) and Relapsed Ovarian Cancer or Primary Peritoneal Cancer (Phase 2) after Prior Platinum Containing First-Line Chemotherapy","Exclusion","Immunocompromised patients (other than that related to the use of corticosteroids) including patients known to be human immunodeficiency virus (HIV) positive","HIV negative included:  Immunocompromised excluded (unless due to corticosteroid usage)","C14139 = NO OR (C14139=NO AND C211=YES) AND (C15175 = NO OR C15175=C17998) ","c14139:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-00878","NCT00956007","A Phase III Study of Postoperative Radiation Therapy (IMRT) +/- Cetuximab for Locally-Advanced Resected Head and Neck Cancer","Exclusion","Severe, active co-morbidity, defined as follows:   * Acquired immune deficiency syndrome (AIDS) based upon current Centers for Disease Control and Prevention (CDC) definition; note: human immunodeficiency virus (HIV) testing is not required for entry into this protocol; protocol-specific requirements may also exclude immuno-compromised patients  ","AIDS excluded; immunocompromised excluded","(C2851=NO) AND (C14139 = NO)","c2851:affirmed;c15175:affirmed;c15175:affirmed;"
"NCI-2011-01915","NCT00887146","N0577 (CODEL): Phase III Intergroup Study of Radiotherapy with Concomitant and Adjuvant Temozolomide versus Radiotherapy with Adjuvant PCV Chemotherapy in Patients with 1p/19q Co-deleted Anaplastic Glioma or Low Grade Glioma","Exclusion","Patients known to be human immunodeficiency virus (HIV) positive and currently receiving retroviral therapy are not eligible; note: patients known to be HIV positive, but without clinical evidence of an immunocompromised state, are eligible for the study","HIV positive and receiving antiretroviral therapy excluded;  HIV positive and no immunopromised eligible.  ","(C15175=NO) OR (C15175=C17998) OR (C15175 = YES AND C94631 = NO) OR (C15175 = YES AND C14139 = NO)","c15175:affirmed;c15175:affirmed;c94631:affirmed;c15175:affirmed;c14139:affirmed;"
"NCI-2011-01972","NCT00983697","A Multicenter Trial of FDG-PET/CT Staging of Head and Neck Cancer and Its Impact on the N0 Neck Surgical Treatment in Head and Neck Cancer Patients","N/A","","","",""
