nci_id	nct_id	official_title	inclusion_indicaInclusionor	description	Text	Boolean
NCI-2009-00336	NCT00392327	Efficacy of Carboplatin Administered Concomitantly with Radiation and Isotretinoin as a Pro-apoptotic Agent in Other than Average Risk Medulloblastoma/PNET Patients	N/A			
NCI-2009-00470	NCT00632853	Phase III Comparison of Thoracic Radiotherapy Regimens in Patients with Limited Small Cell Lung Cancer Also Receiving Cisplatin or Carboplatin and Etoposide	N/A			
NCI-2009-00595	NCT00719303	Can Diet and Physical Activity Modulate Ovarian, Fallopian Tube and Primary Peritoneal Cancer Progression-Free Survival?	N/A			
NCI-2009-00603	NCT00492778	A Randomized Trial of Pelvic Irradiation with or without Concurrent Weekly Cisplatin in Patients with Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus	N/A			
NCI-2009-00817	NCT00001337	Dose-Adjusted EPOCH Chemotherapy and Rituximab (Cd20+) in Adults and Children with Previously Untreated Aggressive Non-Hodgkin's Lymphoma	N/A			
NCI-2009-01057	NCT00576654	A Phase I Dose-Escalation Study of Oral ABT-888 (NSC #737664) plus Intravenous Irinotecan (CPT-11, NSC#616348) Administered in Patients with Advanced Solid Tumors	N/A			
NCI-2011-00312	NCT01012817	A Phase 1/2 Trial of ABT-888, an Inhibitor of Poly(ADP-ribose) Polymerase (PARP), and Topotecan (TPT) in Patients with Solid Tumors (Phase 1) and Relapsed Ovarian Cancer or Primary Peritoneal Cancer (Phase 2) after Prior Platinum Containing First-Line Chemotherapy	N/A			
NCI-2011-00878	NCT00956007	A Phase III Study of Postoperative Radiation Therapy (IMRT) +/- Cetuximab for Locally-Advanced Resected Head and Neck Cancer	N/A			
NCI-2011-01915	NCT00887146	N0577 (CODEL): Phase III Intergroup Study of Radiotherapy with Concomitant and Adjuvant Temozolomide versus Radiotherapy with Adjuvant PCV Chemotherapy in Patients with 1p/19q Co-deleted Anaplastic Glioma or Low Grade Glioma	N/A			
NCI-2011-01972	NCT00983697	A Multicenter Trial of FDG-PET/CT Staging of Head and Neck Cancer and Its Impact on the N0 Neck Surgical Treatment in Head and Neck Cancer Patients	N/A			
NCI-2011-01973	NCT00980954	Phase III Randomized Study of Concurrent Chemotherapy and Pelvic Radiation Therapy with or without Adjuvant Chemotherapy in High-Risk Patients with Early-Stage Cervical Carcinoma following Radical Hysterectomy	N/A			
NCI-2011-01974	NCT00981656	A Phase II Protocol for Patients with Stage T1 Bladder Cancer to Evaluate Selective Bladder Preserving Treatment by Radiation Therapy Concurrent with Radiosensitizing Chemotherapy following a Thorough Transurethral Surgical Re-staging	Inclusion	White blood cell count (WBC) >= 4,000/ml	Leukocyte count greater than or equal to 4000 per mililiter	(C51948 >= 4000/mL)
NCI-2011-01975	NCT00980460	Treatment of Children with All Stages of Hepatoblastoma with Temsirolimus (NSC#683864) Added to High Risk Stratum Treatment	N/A			
NCI-2011-01987	NCT01013649	A Phase II-R and a Phase III Trial Evaluating Both Erlotinib (Ph II-R) and Chemoradiation (Ph III) as Adjuvant Treatment for Patients with Resected Head of Pancreas Adenocarcinoma	N/A			
NCI-2011-01992	NCT02085408	Phase III Randomized Trial of Clofarabine as Induction and Post-Remission Therapy vs. Standard Daunorubicin & Cytarabine Induction and Intermediate Dose Cytarabine Post-Remission Therapy, Followed by Decitabine Maintenance vs. Observation in Newly-Diagnosed Acute Myeloid Leukemia in Older Adults (Age >/= 60 Years)	N/A			
NCI-2011-02000	NCT01042522	A Randomized Phase II Trial of Paclitaxel and Carboplatin vs. Bleomycin, Etoposide, and Cisplatin for Newly Diagnosed Advanced Stage and Recurrent Chemonaive Sex Cord-Stromal Tumors of the Ovary	N/A			
